angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.05,,"(248, 132, 127, 127)",,0.0,,0.58,,0.0,,0.17,,0.18,,0.02,
0.04,,"(251, 129, 134, 134)",,0.0,,0.47,,0.0,,0.25,,0.18,,0.05,
0.03,,"(252, 129, 133, 133)",,0.0,,0.42,,0.01,,0.17,,0.09,,0.28,
0.14,,"(250, 129, 136, 136)",,0.0,,0.42,,0.03,,0.11,,0.06,,0.23,
0.07,,"(250, 128, 135, 135)",,0.0,,0.62,,0.02,,0.06,,0.05,,0.19,
0.07,,"(251, 130, 128, 128)",,0.0,,0.7,,0.01,,0.01,,0.03,,0.17,
0.18,,"(251, 129, 127, 127)",,0.0,,0.48,,0.03,,0.02,,0.04,,0.24,
0.22,,"(261, 130, 126, 126)",,0.0,,0.51,,0.07,,0.02,,0.05,,0.13,
0.31,,"(250, 129, 129, 129)",,0.0,,0.48,,0.01,,0.02,,0.1,,0.08,
0.34,,"(251, 129, 129, 129)",,0.0,,0.34,,0.01,,0.03,,0.14,,0.14,
0.09,,"(255, 125, 130, 130)",,0.0,,0.57,,0.0,,0.05,,0.18,,0.11,
0.05,,"(255, 124, 128, 128)",,0.0,,0.62,,0.0,,0.07,,0.23,,0.03,
0.1,,"(256, 123, 128, 128)",,0.0,,0.33,,0.0,,0.15,,0.4,,0.01,
0.03,,"(256, 123, 129, 129)",,0.0,,0.75,,0.0,,0.05,,0.09,,0.08,
0.05,,"(256, 123, 130, 130)",,0.0,,0.57,,0.01,,0.01,,0.05,,0.3,
0.09,,"(250, 119, 141, 141)",,0.0,,0.4,,0.11,,0.02,,0.04,,0.34,
0.16,,"(257, 124, 131, 131)",,0.0,,0.14,,0.24,,0.01,,0.06,,0.38,
0.32,,"(257, 123, 130, 130)",,0.0,,0.48,,0.0,,0.02,,0.06,,0.11,
0.09,,"(255, 128, 122, 122)",,0.0,,0.46,,0.0,,0.0,,0.02,,0.43,
0.17,,"(258, 124, 128, 128)",,0.0,,0.43,,0.0,,0.05,,0.16,,0.18,
0.06,,"(258, 123, 126, 126)",,0.0,,0.51,,0.0,,0.12,,0.23,,0.08,
0.03,,"(258, 123, 126, 126)",,0.0,,0.67,,0.0,,0.04,,0.14,,0.12,
0.03,,"(258, 123, 127, 127)",,0.0,,0.67,,0.0,,0.05,,0.13,,0.12,
0.03,,"(259, 123, 127, 127)",,0.0,,0.7,,0.0,,0.05,,0.09,,0.13,
0.05,,"(260, 124, 126, 126)",,0.0,,0.5,,0.0,,0.02,,0.07,,0.36,
0.06,,"(258, 121, 130, 130)",,0.0,,0.35,,0.0,,0.21,,0.29,,0.07,
0.04,,"(260, 122, 126, 126)",,0.0,,0.28,,0.0,,0.31,,0.34,,0.02,
0.07,,"(261, 123, 126, 126)",,0.0,,0.49,,0.0,,0.1,,0.27,,0.06,
0.04,,"(262, 121, 128, 128)",,0.0,,0.69,,0.0,,0.05,,0.09,,0.12,
0.04,,"(262, 123, 129, 129)",,0.0,,0.68,,0.01,,0.03,,0.12,,0.12,
